
 Z=74  Tungsten (W)                    Atomic Weight (nat)=183.850
 Photo-Atomic Cross Sections           (1 cm2/gm=305.2906 barn/atom)
 NP= 332                               Data from EPDL97

Column definitions:
  EMeV   Incident photon energy (MeV)
  XXXba  Cross Section for process XXX, barn/atom
  XXXcg  Cross Section for process XXX, cm2/gm
  XXX    Tot: Total cross section (Coh+Inc+ppT+PE)
          PE: Photo-electric ionization     (W K-edge= 6.9689E-02 MeV)
         Coh: Coherent  (Rayleigh) scattering
         Inc: Incoherent (Compton) scattering
         ppn: Pair production from nucleus
         ppe: Pair production from electrons
         ppT: Total pair prod (=ppn+ppe)

   EMeV       Totba     PEba      Cohba     Incba     ppnba     ppeba     ppTba       Totcg     PEcg      Cohcg     Inccg     ppncg     ppecg     ppTcg
 1.0206E-02 7.105E+04 7.021E+04 8.186E+02 1.494E+01 0.000E+00 0.000E+00 0.000E+00   2.327E+02 2.300E+02 2.681E+00 4.892E-02 0.000E+00 0.000E+00 0.000E+00
 1.1000E-02 5.856E+04 5.761E+04 9.359E+02 1.570E+01 0.000E+00 0.000E+00 0.000E+00   1.918E+02 1.887E+02 3.066E+00 5.141E-02 0.000E+00 0.000E+00 0.000E+00
 1.1573E-02 5.113E+04 5.026E+04 8.549E+02 1.623E+01 0.000E+00 0.000E+00 0.000E+00   1.675E+02 1.646E+02 2.800E+00 5.317E-02 0.000E+00 0.000E+00 0.000E+00
 1.1573E-02 7.033E+04 6.946E+04 8.549E+02 1.623E+01 0.000E+00 0.000E+00 0.000E+00   2.304E+02 2.275E+02 2.800E+00 5.317E-02 0.000E+00 0.000E+00 0.000E+00
 1.2000E-02 6.415E+04 6.325E+04 8.918E+02 1.663E+01 0.000E+00 0.000E+00 0.000E+00   2.101E+02 2.072E+02 2.921E+00 5.446E-02 0.000E+00 0.000E+00 0.000E+00
 1.2077E-02 6.309E+04 6.218E+04 8.975E+02 1.670E+01 0.000E+00 0.000E+00 0.000E+00   2.067E+02 2.037E+02 2.940E+00 5.470E-02 0.000E+00 0.000E+00 0.000E+00
 1.2077E-02 7.284E+04 7.193E+04 8.975E+02 1.670E+01 0.000E+00 0.000E+00 0.000E+00   2.386E+02 2.356E+02 2.940E+00 5.470E-02 0.000E+00 0.000E+00 0.000E+00
 1.3000E-02 6.061E+04 5.965E+04 9.450E+02 1.750E+01 0.000E+00 0.000E+00 0.000E+00   1.985E+02 1.954E+02 3.095E+00 5.732E-02 0.000E+00 0.000E+00 0.000E+00
 1.4000E-02 5.025E+04 4.932E+04 9.119E+02 1.829E+01 0.000E+00 0.000E+00 0.000E+00   1.646E+02 1.616E+02 2.987E+00 5.993E-02 0.000E+00 0.000E+00 0.000E+00
 1.5000E-02 4.217E+04 4.128E+04 8.627E+02 1.907E+01 0.000E+00 0.000E+00 0.000E+00   1.381E+02 1.352E+02 2.826E+00 6.246E-02 0.000E+00 0.000E+00 0.000E+00
 1.6000E-02 3.574E+04 3.490E+04 8.111E+02 1.981E+01 0.000E+00 0.000E+00 0.000E+00   1.171E+02 1.143E+02 2.657E+00 6.489E-02 0.000E+00 0.000E+00 0.000E+00
 1.7000E-02 3.056E+04 2.978E+04 7.608E+02 2.046E+01 0.000E+00 0.000E+00 0.000E+00   1.001E+02 9.755E+01 2.492E+00 6.703E-02 0.000E+00 0.000E+00 0.000E+00
